entity_id,state,last_changed
sensor.light_sensor,2183.333,2025-10-08T13:52:03.534Z
sensor.light_sensor,2110.833,2025-10-08T13:57:03.375Z
sensor.light_sensor,2649.167,2025-10-08T14:02:03.545Z
sensor.light_sensor,3098.333,2025-10-08T14:07:03.997Z
sensor.light_sensor,3603.333,2025-10-08T14:12:02.867Z
sensor.light_sensor,3091.667,2025-10-08T14:17:03.416Z
sensor.light_sensor,2972.5,2025-10-08T14:22:04.101Z
sensor.light_sensor,2971.667,2025-10-08T14:27:04.549Z
sensor.light_sensor,2904.167,2025-10-08T14:32:05.564Z
sensor.light_sensor,2450.833,2025-10-08T14:37:05.534Z
sensor.light_sensor,3095,2025-10-08T14:52:16.138Z
sensor.light_sensor,3094.167,2025-10-08T14:57:16.731Z
sensor.light_sensor,2500.833,2025-10-08T15:02:17.203Z
sensor.light_sensor,2182.5,2025-10-08T15:07:18.293Z
sensor.light_sensor,1775,2025-10-08T15:12:19.003Z
sensor.light_sensor,1646.667,2025-10-08T15:17:19.177Z
sensor.light_sensor,1630,2025-10-08T15:22:20.221Z
sensor.light_sensor,1756.667,2025-10-08T15:27:21.081Z
sensor.light_sensor,1645.833,2025-10-08T15:32:22.035Z
sensor.light_sensor,1357.5,2025-10-08T15:37:22.074Z
sensor.light_sensor,910.8333,2025-10-08T15:42:22.427Z
sensor.light_sensor,964.9999,2025-10-08T15:47:22.563Z
sensor.light_sensor,862.4999,2025-10-08T15:52:23.012Z
sensor.light_sensor,953.3333,2025-10-08T15:57:22.328Z
sensor.light_sensor,1063.333,2025-10-08T16:02:23.087Z
sensor.light_sensor,955.8333,2025-10-08T16:07:24.137Z
sensor.light_sensor,878.3333,2025-10-08T16:12:24.283Z
sensor.light_sensor,690.8333,2025-10-08T16:17:24.268Z
sensor.light_sensor,587.5,2025-10-08T16:22:24.602Z
sensor.light_sensor,463.3333,2025-10-08T16:27:24.453Z
sensor.light_sensor,347.5,2025-10-08T16:32:25.213Z
sensor.light_sensor,275,2025-10-08T16:37:25.399Z
sensor.light_sensor,216.6667,2025-10-08T16:42:25.569Z
sensor.light_sensor,170,2025-10-08T16:47:25.708Z
sensor.light_sensor,110.8333,2025-10-08T16:52:26.510Z
sensor.light_sensor,73.33333,2025-10-08T16:57:26.590Z
sensor.light_sensor,47.5,2025-10-08T17:02:26.114Z
sensor.light_sensor,25,2025-10-08T17:07:27.178Z
sensor.light_sensor,15,2025-10-08T17:12:27.007Z
sensor.light_sensor,8.333333,2025-10-08T17:17:27.453Z
sensor.light_sensor,5,2025-10-08T17:22:27.904Z
sensor.light_sensor,2.5,2025-10-08T17:27:27.573Z
sensor.light_sensor,1.666667,2025-10-08T17:32:29.457Z
sensor.light_sensor,0.833333,2025-10-08T17:37:29.375Z
sensor.light_sensor,1.666667,2025-10-09T05:23:50.043Z
sensor.light_sensor,3.333333,2025-10-09T05:33:50.733Z
sensor.light_sensor,7.5,2025-10-09T05:38:51.047Z
sensor.light_sensor,18.33333,2025-10-09T05:43:51.179Z
sensor.light_sensor,37.5,2025-10-09T05:48:51.850Z
sensor.light_sensor,72.5,2025-10-09T05:53:51.782Z
sensor.light_sensor,118.3333,2025-10-09T05:58:51.917Z
sensor.light_sensor,190.8333,2025-10-09T06:03:52.677Z
sensor.light_sensor,276.6667,2025-10-09T06:08:53.743Z
sensor.light_sensor,369.1667,2025-10-09T06:13:54.507Z
sensor.light_sensor,475,2025-10-09T06:18:55.255Z
sensor.light_sensor,694.1666,2025-10-09T06:23:55.725Z
sensor.light_sensor,906.6666,2025-10-09T06:28:55.825Z
sensor.light_sensor,1005,2025-10-09T06:33:56.887Z
sensor.light_sensor,1124.167,2025-10-09T06:38:56.721Z
sensor.light_sensor,1346.667,2025-10-09T06:43:57.051Z
sensor.light_sensor,1373.333,2025-10-09T06:48:57.323Z
sensor.light_sensor,1553.333,2025-10-09T06:53:58.193Z
sensor.light_sensor,1635,2025-10-09T06:58:59.155Z
sensor.light_sensor,2701.667,2025-10-09T07:03:59.909Z
sensor.light_sensor,1973.333,2025-10-09T07:08:59.732Z
sensor.light_sensor,2325.833,2025-10-09T07:14:00.181Z
sensor.light_sensor,2939.167,2025-10-09T07:19:00.714Z
sensor.light_sensor,3330.833,2025-10-09T07:24:01.086Z
sensor.light_sensor,3815,2025-10-09T07:29:02.134Z
sensor.light_sensor,3866.667,2025-10-09T07:34:02.423Z
sensor.light_sensor,4050.833,2025-10-09T07:39:02.561Z
sensor.light_sensor,4562.5,2025-10-09T07:44:03.286Z
sensor.light_sensor,5509.167,2025-10-09T07:49:03.438Z
sensor.light_sensor,6247.5,2025-10-09T07:54:03.555Z
sensor.light_sensor,7591.667,2025-10-09T07:59:04.618Z
sensor.light_sensor,7826.667,2025-10-09T08:04:05.231Z
sensor.light_sensor,8628.333,2025-10-09T08:09:05.792Z
sensor.light_sensor,8362.5,2025-10-09T08:14:05.566Z
sensor.light_sensor,8580.833,2025-10-09T08:19:06.115Z
sensor.light_sensor,8675.833,2025-10-09T08:24:05.939Z
sensor.light_sensor,54612.5,2025-10-09T08:29:06.085Z
sensor.light_sensor,41610.83,2025-10-09T08:49:09.455Z
sensor.light_sensor,54612.5,2025-10-09T08:54:09.897Z
sensor.light_sensor,33505,2025-10-09T09:04:11.071Z
sensor.light_sensor,54612.5,2025-10-09T09:09:12.435Z
sensor.light_sensor,47895,2025-10-09T09:14:13.808Z
sensor.light_sensor,17957.5,2025-10-09T09:19:14.906Z
sensor.light_sensor,49800,2025-10-09T09:24:15.929Z
sensor.light_sensor,12777.5,2025-10-09T09:29:16.082Z
sensor.light_sensor,54612.5,2025-10-09T09:34:17.141Z
sensor.light_sensor,16052.5,2025-10-09T09:49:19.449Z
sensor.light_sensor,41780,2025-10-09T09:54:20.264Z
sensor.light_sensor,5998.333,2025-10-09T09:59:21.225Z
sensor.light_sensor,5067.5,2025-10-09T10:04:21.706Z
sensor.light_sensor,3241.667,2025-10-09T10:09:21.835Z
sensor.light_sensor,3396.667,2025-10-09T10:14:22.293Z
sensor.light_sensor,3110,2025-10-09T10:19:23.007Z
sensor.light_sensor,3008.333,2025-10-09T10:24:23.461Z
sensor.light_sensor,3000,2025-10-09T10:29:23.935Z
sensor.light_sensor,3560,2025-10-09T10:34:23.767Z
sensor.light_sensor,4375,2025-10-09T10:39:23.617Z
sensor.light_sensor,3837.5,2025-10-09T10:44:24.343Z
sensor.light_sensor,2958.333,2025-10-09T10:49:25.034Z
sensor.light_sensor,3116.667,2025-10-09T10:54:25.772Z
sensor.light_sensor,3329.167,2025-10-09T10:59:26.298Z
sensor.light_sensor,2960.833,2025-10-09T11:04:26.435Z
sensor.light_sensor,2390.833,2025-10-09T11:09:28.558Z
sensor.light_sensor,2469.167,2025-10-09T11:14:28.253Z
sensor.light_sensor,3139.167,2025-10-09T11:19:29.343Z
sensor.light_sensor,3109.167,2025-10-09T11:24:29.486Z
sensor.light_sensor,3686.667,2025-10-09T11:29:30.248Z
sensor.light_sensor,4850,2025-10-09T11:34:30.186Z
sensor.light_sensor,6124.167,2025-10-09T11:39:31.183Z
sensor.light_sensor,6055,2025-10-09T11:44:31.883Z
sensor.light_sensor,7384.167,2025-10-09T11:49:33.603Z
sensor.light_sensor,5017.5,2025-10-09T11:54:33.244Z
sensor.light_sensor,4895,2025-10-09T11:59:34.447Z
sensor.light_sensor,4534.167,2025-10-09T12:04:35.200Z
sensor.light_sensor,4962.5,2025-10-09T12:09:35.647Z
sensor.light_sensor,5785.833,2025-10-09T12:14:35.472Z
sensor.light_sensor,4082.5,2025-10-09T12:19:35.624Z
sensor.light_sensor,2595,2025-10-09T12:29:48.946Z
sensor.light_sensor,3406.667,2025-10-09T12:34:49.288Z
sensor.light_sensor,6871.667,2025-10-09T12:39:49.734Z
sensor.light_sensor,7360.833,2025-10-09T12:44:50.208Z
sensor.light_sensor,5229.167,2025-10-09T12:49:50.317Z
sensor.light_sensor,24280.83,2025-10-09T12:54:50.759Z
sensor.light_sensor,46881.66,2025-10-09T12:59:51.216Z
sensor.light_sensor,5371.667,2025-10-09T13:04:51.341Z
sensor.light_sensor,4530.833,2025-10-09T13:09:51.893Z
sensor.light_sensor,4366.667,2025-10-09T13:14:52.924Z
sensor.light_sensor,4672.5,2025-10-09T13:19:53.145Z
sensor.light_sensor,6657.5,2025-10-09T13:24:53.632Z
sensor.light_sensor,6727.5,2025-10-09T13:29:54.441Z
sensor.light_sensor,7252.5,2025-10-09T13:34:55.761Z
sensor.light_sensor,7010.833,2025-10-09T13:39:56.521Z
sensor.light_sensor,6639.167,2025-10-09T13:44:56.808Z
sensor.light_sensor,6563.333,2025-10-09T13:49:57.753Z
sensor.light_sensor,6736.667,2025-10-09T13:54:56.966Z
sensor.light_sensor,7939.167,2025-10-09T13:59:57.695Z
sensor.light_sensor,5783.333,2025-10-09T14:04:58.148Z
sensor.light_sensor,5360,2025-10-09T14:09:58.518Z
sensor.light_sensor,4125.833,2025-10-09T14:14:58.631Z
sensor.light_sensor,4233.333,2025-10-09T14:20:00.013Z
sensor.light_sensor,5198.333,2025-10-09T14:25:00.565Z
sensor.light_sensor,7210.833,2025-10-09T14:30:01.642Z
sensor.light_sensor,4936.667,2025-10-09T14:35:02.070Z
sensor.light_sensor,6440.833,2025-10-09T14:40:02.523Z
sensor.light_sensor,3075,2025-10-09T14:45:03.165Z
sensor.light_sensor,2690.833,2025-10-09T14:50:03.812Z
sensor.light_sensor,2440,2025-10-09T14:55:04.780Z
sensor.light_sensor,2434.167,2025-10-09T15:00:05.270Z
sensor.light_sensor,2423.333,2025-10-09T15:05:05.153Z
sensor.light_sensor,2816.667,2025-10-09T15:10:05.848Z
sensor.light_sensor,2891.667,2025-10-09T15:15:05.970Z
sensor.light_sensor,2128.333,2025-10-09T15:20:06.407Z
sensor.light_sensor,1440,2025-10-09T15:25:06.864Z
sensor.light_sensor,818.3333,2025-10-09T15:30:07.325Z
sensor.light_sensor,771.6666,2025-10-09T15:35:08.377Z
sensor.light_sensor,688.3333,2025-10-09T15:40:08.506Z
sensor.light_sensor,486.6667,2025-10-09T15:45:08.964Z
sensor.light_sensor,370.8333,2025-10-09T15:50:09.410Z
sensor.light_sensor,277.5,2025-10-09T15:55:09.903Z
sensor.light_sensor,367.5,2025-10-09T16:00:09.996Z
