date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,daylight_duration,sunshine_duration,sunset,sunrise,weather_code,shortwave_radiation_sum,apparent_temperature_min,apparent_temperature_mean,apparent_temperature_max
2018-12-31 22:00:00+00:00,7.89875,9.4675,6.8175,28281.55,4872.618,1546357276,1546328990,51.0,1.33,0.55717325,3.5255435,5.9665747
2019-01-01 22:00:00+00:00,6.055001,6.9175,3.5175,28353.607,2806.4663,1546443740,1546415381,51.0,1.36,0.20817518,1.2329372,2.1655865
2019-01-02 22:00:00+00:00,4.959167,6.3175,3.8675,28432.305,7850.966,1546530207,1546501769,51.0,1.54,0.7665138,2.0353227,3.6389813
2019-01-03 22:00:00+00:00,5.165417,6.6175003,3.9175,28517.426,2969.1567,1546616677,1546588153,51.0,1.44,0.21888924,1.700038,3.0441828
2019-01-04 22:00:00+00:00,7.1570835,7.8175,6.2675004,28608.756,1269.3064,1546703150,1546674535,51.0,1.41,2.5319433,3.0632343,3.625597
2019-01-05 22:00:00+00:00,5.794584,7.0175004,4.0675,28706.074,2327.1753,1546789626,1546760913,3.0,1.6,1.6664667,2.596054,3.820691
2019-01-06 22:00:00+00:00,6.4737506,9.5175,1.6175,28809.164,0.0,1546876104,1546847288,51.0,0.69,-1.3553681,2.975097,4.9099646
2019-01-07 22:00:00+00:00,7.4425006,9.5675,6.2675004,28917.8,15757.787,1546962585,1546933660,51.0,2.35,-0.3822217,0.93979317,4.4799376
2019-01-08 22:00:00+00:00,5.046667,6.6175003,3.5674999,29031.768,22314.92,1547049068,1547020028,51.0,3.61,-1.2593861,-0.30644134,1.7180614
2019-01-09 22:00:00+00:00,3.0800002,5.3675003,0.51750004,29150.848,0.0,1547135554,1547106394,51.0,1.25,-2.787864,-0.09037962,3.0101943
2019-01-10 22:00:00+00:00,6.9654164,8.0675,4.4675,29274.822,3432.503,1547222041,1547192757,51.0,1.16,1.475421,3.566892,4.9214153
2019-01-11 22:00:00+00:00,6.925833,8.5175,5.0175004,29403.469,0.0,1547308529,1547279117,53.0,1.06,1.0516386,2.645704,3.6748638
2019-01-12 22:00:00+00:00,8.717499,9.6675,7.6175003,29536.586,0.0,1547395020,1547365473,53.0,0.78,2.1240597,4.0889916,5.190407
2019-01-13 22:00:00+00:00,5.9550004,7.1175003,4.6675,29673.955,21748.305,1547481511,1547451827,53.0,3.45,0.07165432,0.95299107,1.8583751
2019-01-14 22:00:00+00:00,6.2175,7.9675,3.6675,29815.367,17913.828,1547568004,1547538179,3.0,2.64,-0.40318704,1.9207138,3.1872606
